episode,reward,success,runtime_sec,grad_norm
1,1.23,1,0.380535600008443,0.7191605950141667
2,1.26,1,0.3245301000424661,0.7191605950141667
3,1.26,1,0.22625239996705204,0.22681879483069015
4,1.26,1,0.3569720999803394,0.22681879483069015
5,1.19,1,0.2778779999935068,0.2424516040165627
6,0.08999999999999997,0,0.3752494000364095,0.2424516040165627
7,1.27,1,0.138453500054311,0.2440176439317207
8,1.23,1,0.3801806000410579,0.2440176439317207
9,1.27,1,0.2602415000437759,0.26409611362240054
10,1.13,1,0.37367490003816783,0.26409611362240054
11,1.3,1,0.2100882999948226,0.2603621131014702
12,1.26,1,0.4454952999949455,0.2603621131014702
13,-0.4100000000000001,0,0.27997059997869655,0.6834634057130706
14,1.03,1,0.33598269999492913,0.6834634057130706
15,1.23,1,0.21305170003324747,0.18897343959703794
16,1.03,1,0.36931139999069273,0.18897343959703794
17,0.08999999999999997,0,0.2788742000120692,0.2837560398786061
18,1.27,1,0.30836520000593737,0.2837560398786061
19,1.19,1,0.30709670000942424,0.22092597517783946
20,1.23,1,0.3627716999617405,0.22092597517783946
