Model,accuracy,precision,recall,f1_score,kta,train_time,train_n
Classical RBF SVM,0.7785838653511318,0.7395782246199117,0.8666666666666667,0.7980947340566288,0.17660486401083342,0.0023937225341796875,20
Exact QSVC,0.5992455020313406,0.7560627674750356,0.3045977011494253,0.4342482589102827,0.22524046839356412,7.981951475143433,20
Pegasos QSVC,0.85,0.8888888888888888,0.8,0.8421052631578947,0.22524046839356412,0.29323387145996094,20
