episode,reward,success,runtime_sec,grad_norm
1,0.12999999999999998,0,0.8520446000038646,0.06996347732260828
2,0.13,0,0.8874550999607891,0.06996347732260828
3,1.3,1,0.5403800000203773,0.12905640725239184
4,0.12999999999999998,0,0.999147999973502,0.12905640725239184
5,1.2,1,0.5806446999777108,0.527785046149188
6,0.12999999999999998,0,1.1434769000043161,0.527785046149188
7,0.12999999999999998,0,0.6824635000084527,0.264034755185708
8,1.27,1,0.9116016000043601,0.264034755185708
9,1.3,1,0.5351282000192441,0.7846555338647206
10,-0.07000000000000003,0,1.019034799945075,0.7846555338647206
11,1.27,1,0.433217300043907,0.22129717125756956
12,0.23,0,0.9817810000386089,0.22129717125756956
13,0.12999999999999998,0,0.6952602999517694,0.1320887306476626
14,1.23,1,0.9806423000409268,0.1320887306476626
15,0.12999999999999998,0,0.6119466000236571,0.1277240012622152
16,1.3,1,0.7961478999932297,0.1277240012622152
17,1.13,1,0.7063603000133298,0.38201306928419354
18,0.12999999999999998,0,1.0994262000313029,0.38201306928419354
19,-0.07000000000000003,0,0.6179409999749623,0.6875830308152118
20,0.23,0,1.0114652999909595,0.6875830308152118
