episode,reward,success,runtime_sec,grad_norm
1,0.13,0,0.13115229998948053,0.06160939259841664
2,0.23,0,0.18115750001743436,0.06160939259841664
3,1.3,1,0.16306480002822354,0.07684809959635185
4,0.02999999999999997,0,0.31327730003977194,0.07684809959635185
5,1.27,1,0.09477009996771812,0.3797050925030833
6,-0.17000000000000004,0,0.19979590002913028,0.3797050925030833
7,-0.07000000000000003,0,0.12314699997659773,0.26446533819802065
8,1.27,1,0.14262739999685436,0.26446533819802065
9,1.23,1,0.1249627000070177,0.32867812318296774
10,-0.07000000000000003,0,0.18795150000369176,0.32867812318296774
11,1.27,1,0.097509799990803,0.22037275641759616
12,0.23,0,0.18825189996277913,0.22037275641759616
13,1.23,1,0.12702670000726357,0.35995914010207447
14,1.23,1,0.1749905999749899,0.35995914010207447
15,0.12999999999999998,0,0.12487389997113496,0.16142887928295327
16,1.3,1,0.14877140003954992,0.16142887928295327
17,1.2,1,0.10567010001977906,0.6221146587890837
18,0.12999999999999998,0,0.18659329996444285,0.6221146587890837
19,1.3,1,0.10611530003370717,0.0793029193571914
20,1.23,1,0.17499259999021888,0.0793029193571914
