episode,reward,success,runtime_sec,grad_norm
1,0.13,0,1.4235867999959737,0.06160939259841664
2,0.23,0,0.255093100015074,0.06160939259841664
3,1.3,1,0.11209579999558628,0.06472496086999721
4,0.02999999999999997,0,0.20112719997996464,0.06472496086999721
5,1.27,1,0.09545770002296194,0.4251102437188812
6,-0.17000000000000004,0,0.18374169996241108,0.4251102437188812
7,-0.07000000000000003,0,0.1266825000056997,0.25858164974357895
8,1.27,1,0.14325899997493252,0.25858164974357895
9,1.23,1,0.12501399999018759,0.3462138788185667
10,1.03,1,0.19197799998801202,0.3462138788185667
11,1.27,1,0.08607269998174161,0.25628566534833486
12,0.23,0,0.17759609996574,0.25628566534833486
13,1.23,1,0.12380060000577942,0.3020957186313572
14,1.23,1,0.17865279997931793,0.3020957186313572
15,0.12999999999999998,0,0.13806420000037178,0.4136731818117067
16,1.3,1,0.14939099998446181,0.4136731818117067
17,1.2,1,0.10210640000877902,0.7092719418466247
18,0.12999999999999998,0,0.19043139996938407,0.7092719418466247
19,0.12999999999999998,0,0.11796230002073571,1.2563996818872658
20,1.27,1,0.1352638999815099,1.2563996818872658
