episode,reward,success,runtime_sec,grad_norm
1,0.12999999999999998,0,0.7796775000169873,0.06996347732260828
2,0.13,0,1.1651118000154383,0.06996347732260828
3,1.3,1,0.5496663000085391,0.13169570014472945
4,0.12999999999999998,0,1.0090613000211306,0.13169570014472945
5,1.2,1,0.6143000000156462,0.4045081765751635
6,0.12999999999999998,0,0.9332518000155687,0.4045081765751635
7,0.12999999999999998,0,0.6127380999969319,0.28328187904577945
8,1.27,1,0.791113699960988,0.28328187904577945
9,1.3,1,0.5066155000240542,0.7641204872958403
10,-0.07000000000000003,0,1.1079588000429794,0.7641204872958403
11,1.27,1,0.4640188000048511,0.22320480665377823
12,0.23,0,1.0091008999734186,0.22320480665377823
13,0.12999999999999998,0,0.6663757000351325,0.16968495702872707
14,1.23,1,1.0547859000507742,0.16968495702872707
15,0.12999999999999998,0,0.7540804000454955,0.11549079197313367
16,1.3,1,0.8164897999959067,0.11549079197313367
17,1.13,1,0.6249718999606557,0.4339545775041413
18,0.12999999999999998,0,1.0018564999918453,0.4339545775041413
19,-0.07000000000000003,0,0.6361882000346668,0.6917226130576578
20,0.23,0,1.007701000024099,0.6917226130576578
