episode,reward,success,runtime_sec,grad_norm
1,-1.12,0,0.0019911000272259116,1.9981322217381714
2,-0.07000000000000003,0,0.002150600019376725,0.23530564676248383
3,-0.27,0,0.0019422000041231513,0.3188881548071445
4,0.02999999999999997,0,0.0016689000185579062,0.1560728235033478
5,-0.32,0,0.0019462999771349132,0.43487060841779307
6,1.27,1,0.001523599959909916,1.583538751312984
7,-0.07000000000000003,0,0.001774700009264052,0.29177633092359434
8,1.23,1,0.0015329999732784927,2.3472094991162074
9,-0.37,0,0.0017655999981798232,0.3337131336364162
10,-0.42000000000000004,0,0.0019560999935492873,1.1077278314149288
11,-0.17000000000000004,0,0.0018236999749206007,0.30476273430549955
12,1.23,1,0.0013432999840006232,1.3741611660738253
13,0.12999999999999998,0,0.0016987999551929533,0.2616623483962835
14,0.23,0,0.002444899990223348,0.19169359590288115
15,0.12999999999999998,0,0.0017731999978423119,0.08834477131187038
16,1.23,1,0.0015387999592348933,1.5571083683608258
17,-0.6200000000000001,0,0.0016961999936029315,1.240466103206796
18,0.02999999999999997,0,0.001560300006531179,0.36727733101164367
19,-0.32,0,0.0014123999862931669,0.2697506132546715
20,0.13,0,0.001323999953456223,0.26951250126320264
