episode,reward,success,runtime_sec,grad_norm
1,1.23,1,0.7894717000308447,0.2525911765162182
2,0.23,0,1.2233180000330321,0.2525911765162182
3,-0.07000000000000003,0,0.7536659999750555,0.2982241377678353
4,0.02999999999999997,0,1.0001791000249796,0.2982241377678353
5,1.3,1,0.5574348000227474,0.6402256515280232
6,1.3,1,0.9707556000212207,0.6402256515280232
7,0.12999999999999998,0,0.7224876999971457,0.13060731636426398
8,1.27,1,0.9310285999672487,0.13060731636426398
9,-0.07000000000000003,0,0.6822277999599464,0.2956601781657561
10,-0.37000000000000005,0,1.105859600007534,0.2956601781657561
11,-0.07000000000000003,0,0.6678414999623783,1.4550203187829394
12,1.23,1,0.9568444000324234,1.4550203187829394
13,0.12999999999999998,0,0.5977519000298344,0.16062430630945077
14,0.12999999999999998,0,0.9692961999680847,0.16062430630945077
15,1.2,1,0.5293663999764249,0.500751104397345
16,1.3,1,0.914321199990809,0.500751104397345
17,1.03,1,0.709605099982582,0.6066376654619203
18,1.2,1,0.9316785000264645,0.6066376654619203
19,1.3,1,0.5280109000159428,0.4336189568674117
20,1.3,1,0.940097099984996,0.4336189568674117
