episode,reward,runtime_sec
1,1.0,0.2096748000003572
2,0.9,0.3171675999983563
3,1.0,0.1788379999998142
4,0.9,0.4037702999994508
5,1.0,0.25474710000162304
6,1.0,0.2587012000003597
7,0.7,0.5209689000002982
8,1.0,0.19245859999864479
9,1.0,0.1949163999997836
10,0.8,0.39255189999857976
11,0.9,0.2953428000000713
12,1.0,0.20200760000079754
13,1.0,0.19315679999999702
14,0.9,0.30070210000121733
15,1.0,0.22111240000049293
16,1.0,0.21006370000031893
17,0.9,0.29719289999957255
18,0.8,0.39595139999983076
19,1.0,0.20055129999855126
20,1.0,0.1969454999998561
21,0.9,0.29489269999976386
22,1.0,0.1976699999995617
23,0.8,0.39519880000079866
24,0.9,0.4088943000006111
25,1.0,0.20057509999969625
26,1.0,0.19254720000026282
27,1.0,0.1997563999993872
28,1.0,0.20542800000112038
29,1.0,0.19628019999981916
30,1.0,0.20677660000001197
31,1.0,0.21856600000137405
32,1.0,0.2157389999993029
33,1.0,0.197478999998566
34,0.9,0.2924993999986327
35,0.9,0.31922280000071623
36,1.0,0.22112989999914134
37,1.0,0.17330519999995886
38,1.0,0.17296669999996084
39,1.0,0.17792890000055195
40,1.0,0.17084430000068096
41,1.0,0.17791029999898456
42,0.9,0.2858266999992338
43,1.0,0.17598639999960142
44,1.0,0.18656489999921178
45,1.0,0.1805791999995563
46,1.0,0.18199149999963993
47,1.0,0.17947620000086317
48,1.0,0.17939920000026177
49,1.0,0.17204230000061216
50,0.9,0.25399300000026415
51,1.0,0.2646764000000985
52,1.0,0.17303670000001148
53,1.0,0.17118610000034096
54,1.0,0.17945650000001478
55,0.9,0.2589367000000493
56,1.0,0.17395109999961278
57,1.0,0.17885059999935038
58,1.0,0.17278759999862814
59,1.0,0.17108030000053986
60,1.0,0.1814265000011801
61,1.0,0.18985220000104164
62,1.0,0.18269390000023122
63,1.0,0.16993580000053043
64,0.8,0.3490958000002138
65,1.0,0.17621870000039053
66,1.0,0.17484009999861883
67,1.0,0.17372310000064317
68,1.0,0.16566050000074029
69,1.0,0.16706150000027264
70,1.0,0.17521710000073654
71,1.0,0.17814940000062052
72,1.0,0.1667116000007809
73,1.0,0.16960020000078657
74,1.0,0.17484809999950812
75,0.8,0.3431278999996721
76,1.0,0.17136650000065856
77,1.0,0.17240330000095128
78,1.0,0.17805870000120194
79,1.0,0.17160560000047553
80,1.0,0.19610519999878306
81,1.0,0.2133214000004955
82,1.0,0.22102819999963685
83,1.0,0.25762870000107796
84,0.9,0.316668599998593
85,1.0,0.19018899999900896
86,1.0,0.21260590000019874
87,1.0,0.20890409999992698
88,1.0,0.19854800000030082
89,1.0,0.22787390000121377
90,1.0,0.18009710000114865
91,1.0,0.18358810000063386
92,1.0,0.19286619999911636
93,1.0,0.18735230000129377
94,1.0,0.23499310000079277
95,1.0,0.2637257000005775
96,1.0,0.21121099999982107
97,0.9,0.301783400000204
98,0.9,0.2932712999991054
99,1.0,0.20828979999896546
100,1.0,0.2152449000004708
101,0.9,0.40612439999858907
102,1.0,0.18273730000146315
103,1.0,0.18334820000018226
104,1.0,0.24078430000008666
105,1.0,0.21567449999929522
106,1.0,0.21087029999944207
107,0.9,0.34937689999969734
108,1.0,0.2024013999998715
109,1.0,0.19622139999955834
110,0.9,0.28504290000091714
111,1.0,0.19650879999971949
112,1.0,0.1923216000013781
113,1.0,0.18642089999957534
114,1.0,0.17961950000062643
115,1.0,0.17709439999998722
116,1.0,0.18487049999930605
117,1.0,0.1863740000007965
118,1.0,0.18878419999964535
119,0.9,0.28194340000118245
120,1.0,0.17800950000128068
121,1.0,0.19808829999965383
122,1.0,0.18054789999951026
123,0.9,0.270425200000318
124,1.0,0.1785533000002033
125,1.0,0.17637189999913971
126,1.0,0.18276329999935115
127,1.0,0.18014579999908165
128,0.9,0.30055220000031113
129,1.0,0.18590739999854122
130,0.9,0.29271609999887005
131,1.0,0.19713430000047083
132,1.0,0.19780459999856248
133,1.0,0.19163119999939227
134,1.0,0.18397750000076485
135,1.0,0.19059479999850737
136,1.0,0.19597690000045986
137,1.0,0.18734119999862742
138,1.0,0.1935202999993635
139,1.0,0.18901459999869985
140,1.0,0.18726309999874502
141,0.9,0.29420310000023164
142,1.0,0.19375920000129554
143,1.0,0.2038843000009365
144,1.0,0.20817879999958677
145,1.0,0.19406349999917438
146,1.0,0.19288129999949888
147,1.0,0.18139100000007602
148,1.0,0.19141880000097444
149,1.0,0.21572910000031698
150,1.0,0.2080655999998271
151,1.0,0.19634060000134923
152,0.9,0.2758475999999064
153,1.0,0.1785607000001619
154,1.0,0.17591160000119999
155,1.0,0.2262867000008555
156,0.9,0.2689755999999761
157,1.0,0.18102909999834083
158,1.0,0.1762311000002228
159,1.0,0.18066689999977825
160,1.0,0.1967640000002575
161,1.0,0.24049990000094112
162,1.0,0.21515849999923375
163,1.0,0.1979936000007001
164,1.0,0.21340799999961746
165,1.0,0.22475949999898148
166,1.0,0.2205930999989505
167,0.9,0.3151804000008269
168,0.9,0.29741229999854113
169,0.9,0.3567764999988867
170,1.0,0.27332969999952184
171,1.0,0.3207209000011062
172,1.0,0.23183009999956994
173,1.0,0.22139040000001842
174,1.0,0.21722679999948014
175,1.0,0.2173294000003807
176,0.8,0.4285261000004539
177,1.0,0.20598689999860653
178,1.0,0.1867151999995258
179,1.0,0.19185540000034962
180,1.0,0.19861570000102802
181,1.0,0.20366809999904945
182,1.0,0.20497599999907834
183,1.0,0.1874279999992723
184,0.9,0.2889976000005845
185,1.0,0.191077999999834
186,0.9,0.29492129999925965
187,1.0,0.20092599999952654
188,1.0,0.1901992999992217
189,1.0,0.20050499999888416
190,1.0,0.19160759999977017
191,1.0,0.20249859999967157
192,1.0,0.18987250000100175
193,1.0,0.1858682999991288
194,0.8,0.3967597000009846
195,1.0,0.18780570000126318
196,1.0,0.19150339999941934
197,1.0,0.1898247999997693
198,1.0,0.2781903999984934
199,1.0,0.1994369000003644
200,1.0,0.19877769999948214
201,1.0,0.2014750999987882
202,1.0,0.19354069999826606
203,1.0,0.20004399999925226
204,1.0,0.1923984000004566
205,1.0,0.2239397999983339
206,1.0,0.22296429999914835
207,1.0,0.19889079999848036
208,1.0,0.19990489999872807
209,1.0,0.196982499999649
210,1.0,0.20885959999941406
211,0.8,0.38650760000018636
212,1.0,0.20087799999964773
213,1.0,0.20232369999939692
214,1.0,0.1974525999994512
215,1.0,0.20782319999852916
216,1.0,0.18641159999970114
217,1.0,0.19099970000024769
