episode,reward,runtime_sec
1,1.0,0.04825780000010127
2,0.9,0.06437910000022384
3,1.0,0.028863100000307895
4,0.9,0.041909900000064226
5,1.0,0.02795700000024226
6,1.0,0.02949200000057317
7,0.7,0.06495089999953052
8,1.0,0.027682500000082655
9,1.0,0.028864099999736936
10,0.8,0.04936069999985193
11,0.9,0.03978659999938827
12,1.0,0.025735300000633288
13,1.0,0.028081599999495666
14,0.9,0.038858199999594945
15,1.0,0.024717600000258244
16,1.0,0.025074899999708578
17,0.9,0.039857499999925494
18,0.8,0.054406899999776215
19,1.0,0.02608479999980773
20,1.0,0.02847750000000815
21,0.9,0.04226100000050792
22,1.0,0.02703410000049189
23,0.8,0.05693189999965398
24,0.9,0.12527290000070934
25,1.0,0.028843699999924866
26,1.0,0.029246099999909347
27,1.0,0.026149399999667367
28,1.0,0.026201599999694736
29,1.0,0.025863500000014028
30,1.0,0.026286199999958626
31,1.0,0.02879339999981312
32,1.0,0.028785299999981362
33,1.0,0.031205299999783165
34,0.9,0.04406730000027892
35,0.9,0.04114579999986745
36,1.0,0.027473899999677087
37,1.0,0.027941500000451924
38,1.0,0.030760900000132096
39,1.0,0.0263107000000673
40,1.0,0.026594699999805016
41,0.8,0.05242819999966741
42,1.0,0.026555000000371365
43,1.0,0.028861399999186688
44,1.0,0.02853629999935947
45,1.0,0.02580729999954201
46,1.0,0.024998800000503252
47,1.0,0.025263900000027206
48,1.0,0.027285899999696994
49,0.9,0.04515660000015487
50,1.0,0.028530599999612605
51,1.0,0.028029000000060478
52,1.0,0.027973600000223087
53,1.0,0.027056800000536896
54,0.9,0.04441399999996065
55,1.0,0.029719300000579096
56,1.0,0.031188800000563788
57,1.0,0.029479400000127498
58,1.0,0.03107259999978851
59,1.0,0.03204020000066521
60,1.0,0.033867999999529275
61,1.0,0.032272500000544824
62,0.7,0.06919860000016342
63,1.0,0.029810899999574758
64,0.9,0.04383300000063173
65,0.9,0.042205500000818574
66,1.0,0.030381300000044575
67,1.0,0.03039309999985562
68,1.0,0.02902300000005198
69,1.0,0.026659699999981967
70,1.0,0.02726249999977881
71,0.8,0.05544019999979355
72,1.0,0.02883509999992384
73,1.0,0.02750319999995554
74,1.0,0.029002700000091863
75,1.0,0.027460299999802373
76,1.0,0.026961600000504404
77,1.0,0.026444299999639043
78,1.0,0.027366600000277685
79,1.0,0.029215999999905762
80,0.9,0.041654900000139605
81,1.0,0.030181200000697572
82,1.0,0.029525699999794597
83,1.0,0.02938780000022234
84,1.0,0.029758399999991525
85,0.9,0.04394659999979922
86,1.0,0.029482500000085565
87,1.0,0.03291510000053677
88,1.0,0.02856160000010277
89,1.0,0.02741599999990285
90,1.0,0.027730200000405603
91,1.0,0.031452100000024075
92,0.9,0.04379939999944327
93,0.9,0.041766199999983655
94,1.0,0.03470870000001014
95,0.8,0.054285999999592605
96,0.9,0.04201690000081726
97,1.0,0.028845900000305846
98,1.0,0.02697430000080203
99,1.0,0.02645989999837184
100,0.9,0.03987460000098508
101,1.0,0.03125730000101612
102,1.0,0.05285519999961252
103,0.9,0.049203900000065914
104,1.0,0.03399429999990389
105,1.0,0.029688399999940884
106,1.0,0.02993360000073153
107,1.0,0.031052300000737887
108,1.0,0.030953699999372475
109,1.0,0.03333540000130597
110,1.0,0.02845789999992121
111,1.0,0.029657400000360212
112,0.9,0.03906520000055025
113,1.0,0.026535899998634704
114,0.9,0.04330450000088604
115,0.9,0.04095460000098683
116,1.0,0.02603869999984454
117,1.0,0.02599019999979646
118,1.0,0.02900210000007064
119,1.0,0.028956899999684538
120,0.9,0.04197629999907804
121,1.0,0.029889899999034242
122,0.9,0.04119960000025458
123,1.0,0.03176270000039949
124,1.0,0.031771400001161965
125,1.0,0.03151619999880495
126,1.0,0.030290800001239404
127,1.0,0.02789659999871219
128,1.0,0.029093799999827752
129,1.0,0.028356999999232357
130,1.0,0.027953799999522744
131,1.0,0.03272610000021814
132,0.8,0.055378300001393654
133,1.0,0.029770200000712066
134,1.0,0.02903110000079323
135,1.0,0.02994589999980235
136,1.0,0.028136799999629147
137,1.0,0.02707130000089819
138,1.0,0.024048900000707363
139,1.0,0.029287100000146893
140,1.0,0.02966290000040317
141,1.0,0.0331953999993857
142,1.0,0.03264559999843186
143,0.9,0.04428589999952237
144,1.0,0.03120909999961441
145,1.0,0.02774630000021716
146,1.0,0.027725900001314585
147,0.9,0.04227349999928265
148,0.8,0.055426499999157386
149,1.0,0.029179900000599446
150,1.0,0.028904600001624203
151,1.0,0.030428500000198255
152,1.0,0.03187249999973574
153,1.0,0.029208500000095228
154,1.0,0.030502800000249408
155,0.8,0.061288700000659446
156,0.9,0.04234560000077181
157,0.9,0.04529489999913494
158,1.0,0.02989960000013525
159,1.0,0.03050250000160304
160,1.0,0.02866609999909997
161,1.0,0.07025310000062746
162,1.0,0.06712599999991653
163,1.0,0.050575799999933224
164,0.8,0.05497259999901871
165,1.0,0.02801999999974214
166,1.0,0.02685629999905359
