episode,reward,success,runtime_sec,grad_norm
1,0.13,0,1.5173019000212662,0.06160939259841664
2,0.23,0,0.17000619997270405,0.06160939259841664
3,1.3,1,0.1069425999885425,0.07684809959635185
4,0.02999999999999997,0,0.2210141999530606,0.07684809959635185
5,1.27,1,0.10056110000004992,0.3797050925030833
6,-0.17000000000000004,0,0.19447570003103465,0.3797050925030833
7,-0.07000000000000003,0,0.1256037000566721,0.26446533819802065
8,1.27,1,0.1560013000271283,0.26446533819802065
9,1.23,1,0.13642840000102296,0.32867812318296774
10,-0.07000000000000003,0,0.20912590000079945,0.32867812318296774
11,1.27,1,0.08500179997645319,0.22037275641759616
12,0.23,0,0.17625829996541142,0.22037275641759616
13,1.23,1,0.12328649999108166,0.35995914010207447
14,1.23,1,0.17983799998182803,0.35995914010207447
15,0.12999999999999998,0,0.13299920002464205,0.16142887928295327
16,1.3,1,0.16243179998127744,0.16142887928295327
17,1.2,1,0.10471079999115318,0.6221146587890837
18,0.12999999999999998,0,0.18701360002160072,0.6221146587890837
19,1.3,1,0.10006600001361221,0.0793029193571914
20,1.23,1,0.18498789996374398,0.0793029193571914
