Model,accuracy,precision,recall,f1_score,kta,train_time,train_n
Classical RBF SVM,0.7867092280905398,0.7360263034288398,0.9005747126436782,0.8100284311191522,0.2206030466674486,0.0014941692352294922,20
Exact QSVC,0.6175275681950088,0.6779089376053963,0.46206896551724136,0.5495557074504442,0.22851152494133323,7.718798398971558,20
Pegasos QSVC,0.7,0.7,0.7,0.7,0.22851152494133323,0.23221182823181152,20
