episode,reward,success,runtime_sec,grad_norm
1,1.23,1,0.8102457000059076,0.2525911765162182
2,0.23,0,1.3015008000074886,0.2525911765162182
3,-0.07000000000000003,0,0.6649165999842808,0.3039031423656911
4,0.02999999999999997,0,1.0848087000194937,0.3039031423656911
5,1.3,1,0.6048786999890581,0.6154349713167235
6,1.3,1,0.8534174999804236,0.6154349713167235
7,0.12999999999999998,0,0.6275323000154458,0.13380703920494552
8,1.27,1,0.8287684000097215,0.13380703920494552
9,-0.07000000000000003,0,0.6058765000198036,0.3525379813995699
10,-0.37000000000000005,0,1.0330908000469208,0.3525379813995699
11,-0.07000000000000003,0,0.6307058000238612,1.1463246305081265
12,1.23,1,0.9482976999715902,1.1463246305081265
13,0.12999999999999998,0,0.6299044000334106,0.17393663456509098
14,0.12999999999999998,0,1.0183055000379682,0.17393663456509098
15,1.2,1,0.5862294000107795,0.4334594787219532
16,1.3,1,1.0471437000087462,0.4334594787219532
17,1.03,1,0.6349508000421338,0.5935088131721079
18,1.2,1,0.9322000000393018,0.5935088131721079
19,0.13,0,0.6641886999714188,0.05090293673002429
20,1.3,1,0.925086300005205,0.05090293673002429
