Model,accuracy,precision,recall,f1_score,kta,train_time,train_n
Classical RBF SVM,0.7254788160185722,0.7067708333333333,0.7798850574712644,0.7415300546448087,0.17356601276498182,0.0016298294067382812,20
Exact QSVC,0.6607661056297156,0.6714714714714715,0.6425287356321839,0.6566813509544787,0.17630122976802998,2.7758560180664062,20
Pegasos QSVC,0.75,0.7272727272727273,0.8,0.7619047619047619,0.17630122976802998,0.2188396453857422,20
