molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy
H2,0.5,Exact,-1.1884595209700333,0.0,True
H2,0.5,UCCSD,-1.1884595064823924,1.4487640864757623e-08,True
H2,0.5,EfficientSU2,-1.188459509563819,1.1406214195375242e-08,True
H2,0.6,Exact,-1.0068357436586013,0.0,True
H2,0.6,UCCSD,-1.0068357204716583,2.3186943032271756e-08,True
H2,0.6,EfficientSU2,-1.0068356282720052,1.153865960556999e-07,True
H2,0.7,Exact,-0.8747272931089948,0.0,True
H2,0.7,UCCSD,-0.8747272841853914,8.923603411759018e-09,True
H2,0.7,EfficientSU2,-0.8747272887370364,4.37195835090165e-09,True
H2,0.8,Exact,-0.7741471707043208,0.0,True
H2,0.8,UCCSD,-0.7741469414055364,2.292987844043637e-07,True
H2,0.8,EfficientSU2,-0.7741471427484523,2.7955868509010884e-08,True
H2,0.9,Exact,-0.694914300876572,0.0,True
H2,0.9,UCCSD,-0.6949143003572064,5.193656615887221e-10,True
H2,0.9,EfficientSU2,-0.6949142978743669,3.0022051511480186e-09,True
H2,1.0,Exact,-0.6308237234452461,0.0,True
H2,1.0,UCCSD,-0.6308236960325246,2.741272142614548e-08,True
H2,1.0,EfficientSU2,-0.6308235675245484,1.5592069768644023e-07,True
H2,1.1,Exact,-0.5778734426397802,0.0,True
H2,1.1,UCCSD,-0.5778734425144219,1.2535839033489538e-10,True
H2,1.1,EfficientSU2,-0.5778733697200047,7.291977555112794e-08,True
H2,1.2,Exact,-0.5333639569472138,0.0,True
H2,1.2,UCCSD,-0.5333638593285749,9.761863895008105e-08,True
H2,1.2,EfficientSU2,-0.5333638426592572,1.1428795665402447e-07,True
H2,1.3,Exact,-0.49540682757943777,0.0,True
H2,1.3,UCCSD,-0.4954066776911641,1.4988827368167534e-07,True
H2,1.3,EfficientSU2,-0.4954067547685942,7.281084357657619e-08,True
H2,1.4,Exact,-0.4626405202587633,0.0,True
H2,1.4,UCCSD,-0.46264034671398174,1.7354478154540942e-07,True
H2,1.4,EfficientSU2,-0.4626405129606322,7.298131099453542e-09,True
H2,1.5,Exact,-0.4340581039832629,0.0,True
H2,1.5,UCCSD,-0.4340581016069028,2.3763601086912445e-09,True
H2,1.5,EfficientSU2,-0.434058044790041,5.919322187963871e-08,True
H2,1.6,Exact,-0.4088985354668996,0.0,True
H2,1.6,UCCSD,-0.408898428858923,1.0660797655770438e-07,True
H2,1.6,EfficientSU2,-0.4088984478403159,8.762658365579767e-08,True
H2,1.7,Exact,-0.3865757041293767,0.0,True
H2,1.7,UCCSD,-0.3865754895126069,2.1461676980027988e-07,True
H2,1.7,EfficientSU2,-0.38657560714963757,9.697973912814462e-08,True
H2,1.8,Exact,-0.36663075352013513,0.0,True
H2,1.8,UCCSD,-0.36663025656683573,4.9695329940036e-07,True
H2,1.8,EfficientSU2,-0.3666307313736203,2.2146514844223475e-08,True
H2,1.9,Exact,-0.34869922075960985,0.0,True
H2,1.9,UCCSD,-0.3486992139325256,6.8270842312756486e-09,True
H2,1.9,EfficientSU2,-0.3486992095861104,1.1173499459005143e-08,True
H2,2.0,Exact,-0.3324878784647288,0.0,True
H2,2.0,UCCSD,-0.3324878559731165,2.2491612350350465e-08,True
H2,2.0,EfficientSU2,-0.3324877433661627,1.3509856611193527e-07,True
H2,2.1,Exact,-0.31775808907250735,0.0,True
H2,2.1,UCCSD,-0.31775802521826324,6.385424411448071e-08,True
H2,2.1,EfficientSU2,-0.3177578726584145,2.1641409286843327e-07,True
H2,2.2,Exact,-0.3043136276243439,0.0,True
H2,2.2,UCCSD,-0.3043135619830183,6.564132559727653e-08,True
H2,2.2,EfficientSU2,-0.30431360412320685,2.3501137036419095e-08,True
H2,2.3,Exact,-0.291991631506972,0.0,True
H2,2.3,UCCSD,-0.29199159378707135,3.771990064738162e-08,True
H2,2.3,EfficientSU2,-0.29199149372590044,1.3778107155193453e-07,True
H2,2.4,Exact,-0.28065577747312276,0.0,True
H2,2.4,UCCSD,-0.2806557318594074,4.5613715360381946e-08,True
H2,2.4,EfficientSU2,-0.2806556989010597,7.857206307804177e-08,True
H2,2.5,Exact,-0.270191070728301,0.0,True
H2,2.5,UCCSD,-0.27019087699358496,1.9373471604744452e-07,True
H2,2.5,EfficientSU2,-0.2701910209388276,4.97894734330373e-08,True
