molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy
H2,0.5,Exact,-1.1884595209700364,0.0,True
H2,0.5,UCCSD,-1.1884594310501537,8.991988265094619e-08,True
H2,0.5,EfficientSU2,-1.1884594655129024,5.5457133996128505e-08,True
H2,0.6,Exact,-1.006835743658604,0.0,True
H2,0.6,UCCSD,-1.00683573404628,9.612324047836296e-09,True
H2,0.6,EfficientSU2,-1.0068357141219524,2.9536651569017636e-08,True
H2,0.7,Exact,-0.874727293108993,0.0,True
H2,0.7,UCCSD,-0.8747272921787831,9.302099091001992e-10,True
H2,0.7,EfficientSU2,-0.8747270122440437,2.8086494929802086e-07,True
H2,0.8,Exact,-0.7741471707043215,0.0,True
H2,0.8,UCCSD,-0.7741471417269912,2.8977330313040284e-08,True
H2,0.8,EfficientSU2,-0.7741471213944415,4.930987995699354e-08,True
H2,0.9,Exact,-0.6949143008765729,0.0,True
H2,0.9,UCCSD,-0.6949142127167535,8.815981944465534e-08,True
H2,0.9,EfficientSU2,-0.6949142961574527,4.719120205720628e-09,True
H2,1.0,Exact,-0.6308237234452478,0.0,True
H2,1.0,UCCSD,-0.6308235966418221,1.268034257595474e-07,True
H2,1.0,EfficientSU2,-0.6308233943293886,3.2911585923223186e-07,True
H2,1.1,Exact,-0.5778734426397827,0.0,True
H2,1.1,UCCSD,-0.5778733355383301,1.0710145259551496e-07,True
H2,1.1,EfficientSU2,-0.57787337914132,6.349846271014314e-08,True
H2,1.2,Exact,-0.5333639569472153,0.0,True
H2,1.2,UCCSD,-0.533363953158412,3.788803271120855e-09,True
H2,1.2,EfficientSU2,-0.5333639466515774,1.029563789778365e-08,True
H2,1.3,Exact,-0.4954068275794381,0.0,True
H2,1.3,UCCSD,-0.49540652871686375,2.9886257435496333e-07,True
H2,1.3,EfficientSU2,-0.49540678206600064,4.5513437463284845e-08,True
H2,1.4,Exact,-0.46264052025876495,0.0,True
H2,1.4,UCCSD,-0.4626402986411369,2.21617628026749e-07,True
H2,1.4,EfficientSU2,-0.4626403478951619,1.7236360305705745e-07,True
H2,1.5,Exact,-0.4340581039832629,0.0,True
H2,1.5,UCCSD,-0.4340580922288079,1.175445496492955e-08,True
H2,1.5,EfficientSU2,-0.4340580855542228,1.8429040071765712e-08,True
H2,1.6,Exact,-0.40889853546689936,0.0,True
H2,1.6,UCCSD,-0.4088981583773381,3.770895612431602e-07,True
H2,1.6,EfficientSU2,-0.4088983856461742,1.498207251593442e-07,True
H2,1.7,Exact,-0.38657570412937636,0.0,True
H2,1.7,UCCSD,-0.38657568837946554,1.5749910819984336e-08,True
H2,1.7,EfficientSU2,-0.38657568920530794,1.4924068425514747e-08,True
H2,1.8,Exact,-0.3666307535201346,0.0,True
H2,1.8,UCCSD,-0.36663073985223754,1.3667897036384602e-08,True
H2,1.8,EfficientSU2,-0.3666306759143944,7.760574016746347e-08,True
H2,1.9,Exact,-0.34869922075960963,0.0,True
H2,1.9,UCCSD,-0.3486992193133022,1.4463074071713322e-09,True
H2,1.9,EfficientSU2,-0.34869880339638065,4.1736322897723e-07,True
H2,2.0,Exact,-0.33248787846472927,0.0,True
H2,2.0,UCCSD,-0.33248776799172264,1.1047300663147297e-07,True
H2,2.0,EfficientSU2,-0.33248785653164725,2.1933082017255856e-08,True
H2,2.1,Exact,-0.31775808907250747,0.0,True
H2,2.1,UCCSD,-0.3177576217951702,4.6727733726825704e-07,True
H2,2.1,EfficientSU2,-0.31775805715087857,3.192162889575911e-08,True
H2,2.2,Exact,-0.3043136276243442,0.0,True
H2,2.2,UCCSD,-0.304313511430379,1.1619396522721814e-07,True
H2,2.2,EfficientSU2,-0.30431322153836016,4.0608598406155494e-07,True
H2,2.3,Exact,-0.29199163150697255,0.0,True
H2,2.3,UCCSD,-0.2919911807237168,4.507832557232305e-07,True
H2,2.3,EfficientSU2,-0.2919915564967082,7.501026433320845e-08,True
H2,2.4,Exact,-0.2806557774731223,0.0,True
H2,2.4,UCCSD,-0.28065577042443923,7.048683081656293e-09,True
H2,2.4,EfficientSU2,-0.2806555327780561,2.446950662093883e-07,True
H2,2.5,Exact,-0.2701910707283009,0.0,True
H2,2.5,UCCSD,-0.2701908760398666,1.946884343184685e-07,True
H2,2.5,EfficientSU2,-0.2701910546025129,1.612578798271258e-08,True
