molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy
H2,0.5,Exact,-1.1884595209700364,0.0,True
H2,0.5,UCCSD,-1.1884595175392607,3.4307756635598707e-09,True
H2,0.5,EfficientSU2,-1.1884595158774993,5.092537058715152e-09,True
H2,0.6,Exact,-1.0068357436586026,0.0,True
H2,0.6,UCCSD,-1.0068356819098003,6.174880229359303e-08,True
H2,0.6,EfficientSU2,-1.006835692604468,5.1054134697636755e-08,True
H2,0.7,Exact,-0.8747272931089919,0.0,True
H2,0.7,UCCSD,-0.8747272360689186,5.7040073331293684e-08,True
H2,0.7,EfficientSU2,-0.8747271195429115,1.7356608039698074e-07,True
H2,0.8,Exact,-0.7741471707043217,0.0,True
H2,0.8,UCCSD,-0.7741470902353933,8.046892840951614e-08,True
H2,0.8,EfficientSU2,-0.7741471612280484,9.47627332159584e-09,True
H2,0.9,Exact,-0.694914300876572,0.0,True
H2,0.9,UCCSD,-0.6949141662481436,1.3462842840539224e-07,True
H2,0.9,EfficientSU2,-0.694914098406893,2.0246967902259883e-07,True
H2,1.0,Exact,-0.630823723445247,0.0,True
H2,1.0,UCCSD,-0.6308235743189692,1.491262777708613e-07,True
H2,1.0,EfficientSU2,-0.630823163256516,5.601887309580889e-07,True
H2,1.1,Exact,-0.5778734426397807,0.0,True
H2,1.1,UCCSD,-0.577873123032228,3.196075526457065e-07,True
H2,1.1,EfficientSU2,-0.5778733360745105,1.0656527016372763e-07,True
H2,1.2,Exact,-0.5333639569472141,0.0,True
H2,1.2,UCCSD,-0.5333633914219932,5.655252208747186e-07,True
H2,1.2,EfficientSU2,-0.5333636578868851,2.990603289454441e-07,True
H2,1.3,Exact,-0.495406827579437,0.0,True
H2,1.3,UCCSD,-0.4954067632314332,6.434800381427408e-08,True
H2,1.3,EfficientSU2,-0.4954062904979857,5.370814513128153e-07,True
H2,1.4,Exact,-0.46264052025876495,0.0,True
H2,1.4,UCCSD,-0.46264033777988495,1.8247888000644252e-07,True
H2,1.4,EfficientSU2,-0.4626397276384339,7.92620331035998e-07,True
H2,1.5,Exact,-0.43405810398326244,0.0,True
H2,1.5,UCCSD,-0.4340577713248393,3.3265842314111893e-07,True
H2,1.5,EfficientSU2,-0.4340578362748719,2.6770839056666773e-07,True
H2,1.6,Exact,-0.4088985354669007,0.0,True
H2,1.6,UCCSD,-0.4088980366999153,4.987669853795396e-07,True
H2,1.6,EfficientSU2,-0.4088981160138523,4.1945304840584896e-07,True
H2,1.7,Exact,-0.3865757041293775,0.0,True
H2,1.7,UCCSD,-0.38657503336838017,6.70760997301123e-07,True
H2,1.7,EfficientSU2,-0.38657512420318574,5.799261917349696e-07,True
H2,1.8,Exact,-0.3666307535201348,0.0,True
H2,1.8,UCCSD,-0.36662991112368065,8.423964541481865e-07,True
H2,1.8,EfficientSU2,-0.36663001124058253,7.422795522682435e-07,True
H2,1.9,Exact,-0.34869922075960974,0.0,True
H2,1.9,UCCSD,-0.3486989802788936,2.4048071611826316e-07,True
H2,1.9,EfficientSU2,-0.34869831853363314,9.022259765956164e-07,True
H2,2.0,Exact,-0.3324878784647296,0.0,True
H2,2.0,UCCSD,-0.3324875474465995,3.310181301285908e-07,True
H2,2.0,EfficientSU2,-0.33248682132933993,1.0571353896704494e-06,True
H2,2.1,Exact,-0.31775808907250713,0.0,True
H2,2.1,UCCSD,-0.31775766300159325,4.2607091388369156e-07,True
H2,2.1,EfficientSU2,-0.3177568836132859,1.2054592212207282e-06,True
H2,2.2,Exact,-0.30431362762434433,0.0,True
H2,2.2,UCCSD,-0.30431310480103646,5.228233078691247e-07,True
H2,2.2,EfficientSU2,-0.30431228126629506,1.34635804927008e-06,True
H2,2.3,Exact,-0.29199163150697166,0.0,True
H2,2.3,UCCSD,-0.29199101217782225,6.193291494094311e-07,True
H2,2.3,EfficientSU2,-0.29199015204949924,1.4794574724197318e-06,True
H2,2.4,Exact,-0.2806557774731233,0.0,True
H2,2.4,UCCSD,-0.28065506321747835,7.142556449624138e-07,True
H2,2.4,EfficientSU2,-0.2806550193726647,7.581004586310058e-07,True
H2,2.5,Exact,-0.27019107072830084,0.0,True
H2,2.5,UCCSD,-0.27019026402281027,8.067054905747106e-07,True
H2,2.5,EfficientSU2,-0.27019021703653545,8.536917653900744e-07,True
