molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy
H2,0.5,Exact,-1.1884595209700324,0.0,True
H2,0.5,UCCSD,-1.18845928750018,2.3346985233985151e-07,True
H2,0.5,EfficientSU2,-1.1884594394793653,8.149066710316788e-08,True
H2,0.6,Exact,-1.006835743658604,0.0,True
H2,0.6,UCCSD,-1.0068357393917289,4.266875075487064e-09,True
H2,0.6,EfficientSU2,-1.0068357162259964,2.7432607518917962e-08,True
H2,0.7,Exact,-0.874727293108993,0.0,True
H2,0.7,UCCSD,-0.8747270163650357,2.7674395730592494e-07,True
H2,0.7,EfficientSU2,-0.8747272914148451,1.6941479330512266e-09,True
H2,0.8,Exact,-0.7741471707043206,0.0,True
H2,0.8,UCCSD,-0.774147165905984,4.7983366169290775e-09,True
H2,0.8,EfficientSU2,-0.7741471516263081,1.907801250311536e-08,True
H2,0.9,Exact,-0.6949143008765714,0.0,True
H2,0.9,UCCSD,-0.6949142678144048,3.306216656007166e-08,True
H2,0.9,EfficientSU2,-0.6949142993683693,1.5082020077272773e-09,True
H2,1.0,Exact,-0.6308237234452478,0.0,True
H2,1.0,UCCSD,-0.6308237151084646,8.33678326372933e-09,True
H2,1.0,EfficientSU2,-0.6308233372628496,3.8618239828203116e-07,True
H2,1.1,Exact,-0.5778734426397816,0.0,True
H2,1.1,UCCSD,-0.5778734414586673,1.1811143174611516e-09,True
H2,1.1,EfficientSU2,-0.5778734259581708,1.6681610759405885e-08,True
H2,1.2,Exact,-0.5333639569472138,0.0,True
H2,1.2,UCCSD,-0.5333635640901923,3.9285702158053937e-07,True
H2,1.2,EfficientSU2,-0.5333638957114811,6.123573270677696e-08,True
H2,1.3,Exact,-0.49540682757943744,0.0,True
H2,1.3,UCCSD,-0.49540682253751767,5.041919770576442e-09,True
H2,1.3,EfficientSU2,-0.49540680417385463,2.3405582805224867e-08,True
H2,1.4,Exact,-0.4626405202587634,0.0,True
H2,1.4,UCCSD,-0.4626404560988458,6.415991760100326e-08,True
H2,1.4,EfficientSU2,-0.4626398949503306,6.253084328111669e-07,True
H2,1.5,Exact,-0.434058103983262,0.0,True
H2,1.5,UCCSD,-0.43405808571588383,1.826737816568169e-08,True
H2,1.5,EfficientSU2,-0.4340577098204604,3.9416280162019035e-07,True
H2,1.6,Exact,-0.4088985354668987,0.0,True
H2,1.6,UCCSD,-0.40889843371724177,1.0174965692222315e-07,True
H2,1.6,EfficientSU2,-0.4088985214020453,1.406485339305874e-08,True
H2,1.7,Exact,-0.38657570412937714,0.0,True
H2,1.7,UCCSD,-0.3865756846628101,1.9466567025006043e-08,True
H2,1.7,EfficientSU2,-0.38657570206267233,2.0667048072908756e-09,True
H2,1.8,Exact,-0.366630753520134,0.0,True
H2,1.8,UCCSD,-0.3666307521643171,1.3558169031924194e-09,True
H2,1.8,EfficientSU2,-0.3666307510604652,2.459668801968462e-09,True
H2,1.9,Exact,-0.34869922075960896,0.0,True
H2,1.9,UCCSD,-0.34869873234845433,4.884111546310521e-07,True
H2,1.9,EfficientSU2,-0.348698852184313,3.6857529595035743e-07,True
H2,2.0,Exact,-0.33248787846472905,0.0,True
H2,2.0,UCCSD,-0.3324875262476673,3.5221706173871326e-07,True
H2,2.0,EfficientSU2,-0.3324878108859798,6.75787492632196e-08,True
H2,2.1,Exact,-0.31775808907250735,0.0,True
H2,2.1,UCCSD,-0.3177580241254421,6.494706528137328e-08,True
H2,2.1,EfficientSU2,-0.3177576388190898,4.502534175498951e-07,True
H2,2.2,Exact,-0.304313627624344,0.0,True
H2,2.2,UCCSD,-0.3043132667381617,3.6088618227125835e-07,True
H2,2.2,EfficientSU2,-0.30431354270462885,8.491971514867913e-08,True
H2,2.3,Exact,-0.29199163150697166,0.0,True
H2,2.3,UCCSD,-0.2919912955064807,3.3600049098581053e-07,True
H2,2.3,EfficientSU2,-0.29199163149345003,1.3521628261514707e-11,True
H2,2.4,Exact,-0.28065577747312265,0.0,True
H2,2.4,UCCSD,-0.28065558679331204,1.90679810607719e-07,True
H2,2.4,EfficientSU2,-0.28065566351753446,1.1395558818794171e-07,True
H2,2.5,Exact,-0.270191070728301,0.0,True
H2,2.5,UCCSD,-0.270190994577554,7.615074698597013e-08,True
H2,2.5,EfficientSU2,-0.2701907267811077,3.439471932820126e-07,True
