molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy
H2,0.5,Exact,-1.1884595209700315,0.0,True
H2,0.5,UCCSD,-1.188459366346275,1.546237564653552e-07,True
H2,0.5,EfficientSU2,-1.1884594954477796,2.5522251867471368e-08,True
H2,0.6,Exact,-1.0068357436586024,0.0,True
H2,0.6,UCCSD,-1.0068352210126064,5.226459960372409e-07,True
H2,0.6,EfficientSU2,-1.0068357314133531,1.2245249259024149e-08,True
H2,0.7,Exact,-0.8747272931089934,0.0,True
H2,0.7,UCCSD,-0.8747272108967287,8.221226477367338e-08,True
H2,0.7,EfficientSU2,-0.87472728310084,1.0008153417118137e-08,True
H2,0.8,Exact,-0.7741471707043228,0.0,True
H2,0.8,UCCSD,-0.7741470399487804,1.307555423935014e-07,True
H2,0.8,EfficientSU2,-0.7741470999037106,7.080061226183432e-08,True
H2,0.9,Exact,-0.6949143008765716,0.0,True
H2,0.9,UCCSD,-0.6949142892541899,1.1622381723697117e-08,True
H2,0.9,EfficientSU2,-0.6949142803083687,2.0568202918624934e-08,True
H2,1.0,Exact,-0.630823723445247,0.0,True
H2,1.0,UCCSD,-0.630823714035573,9.409673928928441e-09,True
H2,1.0,EfficientSU2,-0.6308237035293423,1.991590470318272e-08,True
H2,1.1,Exact,-0.5778734426397809,0.0,True
H2,1.1,UCCSD,-0.5778734410805342,1.5592467317304681e-09,True
H2,1.1,EfficientSU2,-0.5778734287641427,1.3875638193994178e-08,True
H2,1.2,Exact,-0.5333639569472143,0.0,True
H2,1.2,UCCSD,-0.5333639489820208,7.965193504766432e-09,True
H2,1.2,EfficientSU2,-0.5333639279792953,2.8967918952460536e-08,True
H2,1.3,Exact,-0.49540682757943744,0.0,True
H2,1.3,UCCSD,-0.4954068028439125,2.4735524961627675e-08,True
H2,1.3,EfficientSU2,-0.4954068274963149,8.312250887598793e-11,True
H2,1.4,Exact,-0.4626405202587642,0.0,True
H2,1.4,UCCSD,-0.46264052009463114,1.6413304049223143e-10,True
H2,1.4,EfficientSU2,-0.46264051130696976,8.951794416844905e-09,True
H2,1.5,Exact,-0.4340581039832628,0.0,True
H2,1.5,UCCSD,-0.43405809629267017,7.690592607190183e-09,True
H2,1.5,EfficientSU2,-0.43405794881408793,1.5516917484248438e-07,True
H2,1.6,Exact,-0.40889853546689947,0.0,True
H2,1.6,UCCSD,-0.4088983748793964,1.605875030730175e-07,True
H2,1.6,EfficientSU2,-0.408898533732855,1.7340444635749463e-09,True
H2,1.7,Exact,-0.38657570412937714,0.0,True
H2,1.7,UCCSD,-0.3865757027622979,1.367079227598822e-09,True
H2,1.7,EfficientSU2,-0.38657570394891716,1.8045998029236898e-10,True
H2,1.8,Exact,-0.3666307535201347,0.0,True
H2,1.8,UCCSD,-0.3666307390178895,1.4502245182512752e-08,True
H2,1.8,EfficientSU2,-0.3666307074084539,4.61116808070372e-08,True
H2,1.9,Exact,-0.34869922075960974,0.0,True
H2,1.9,UCCSD,-0.34869917533163214,4.5427977601875114e-08,True
H2,1.9,EfficientSU2,-0.34869882539442637,3.953651833699112e-07,True
H2,2.0,Exact,-0.33248787846472905,0.0,True
H2,2.0,UCCSD,-0.33248752615345023,3.523112788172966e-07,True
H2,2.0,EfficientSU2,-0.3324874993232534,3.79141475659317e-07,True
H2,2.1,Exact,-0.317758089072508,0.0,True
H2,2.1,UCCSD,-0.3177580776254033,1.1447104708572908e-08,True
H2,2.1,EfficientSU2,-0.3177580640763611,2.4996146930078567e-08,True
H2,2.2,Exact,-0.3043136276243439,0.0,True
H2,2.2,UCCSD,-0.30431326956399585,3.580603480379807e-07,True
H2,2.2,EfficientSU2,-0.3043136203145842,7.309759686435768e-09,True
H2,2.3,Exact,-0.2919916315069721,0.0,True
H2,2.3,UCCSD,-0.2919914336938863,1.9781308580046897e-07,True
H2,2.3,EfficientSU2,-0.29199123868478477,3.9282218733394103e-07,True
H2,2.4,Exact,-0.2806557774731221,0.0,True
H2,2.4,UCCSD,-0.2806557108431741,6.662994800343824e-08,True
H2,2.4,EfficientSU2,-0.2806557331560803,4.431704181406815e-08,True
H2,2.5,Exact,-0.27019107072830123,0.0,True
H2,2.5,UCCSD,-0.27019106739880194,3.3294992873855733e-09,True
H2,2.5,EfficientSU2,-0.2701907206343062,3.5009399501628735e-07,True
