episode,reward,success,runtime_sec,grad_norm
1,0.029999999999999975,0,0.002297299972269684,0.13122088322775544
2,1.23,1,0.0022010999964550138,1.5586964108175074
3,0.22999999999999998,0,0.0013280999846756458,0.1275575409975677
4,0.12999999999999998,0,0.0015612999559380114,0.18820260498485955
5,1.3,1,0.0018063000170513988,1.4569915759192265
6,-0.12000000000000002,0,0.0016030000406317413,0.8118758721791538
7,0.12999999999999998,0,0.0013274999801069498,0.21458407976128616
8,0.029999999999999975,0,0.0018792999908328056,0.38366737428679737
9,-0.17000000000000004,0,0.0019208999583497643,0.2743007437500249
10,-0.07000000000000003,0,0.0016169999726116657,0.18349886952245734
11,-0.37000000000000005,0,0.0017458000220358372,0.7425226725630072
12,-0.62,0,0.0017661000019870698,1.3081588910773156
13,-0.07000000000000003,0,0.0016399999731220305,0.14146438646068432
14,-0.9200000000000002,0,0.0014143000007607043,1.8174390814698358
15,-0.6200000000000001,0,0.0014731999835930765,0.715403874244368
16,1.03,1,0.003694900020491332,1.5335380903662283
17,0.23,0,0.002656900032889098,0.23301702313704942
18,1.2,1,0.0030456999666057527,0.8314744240229892
19,1.3,1,0.0029060000088065863,0.885586358741326
20,1.27,1,0.0018594999564811587,0.6574913768365607
