depth,n_initial_points,maxiter,split,mean_ratio,std_ratio,ci_lower,ci_upper,n_instances
1,1,40,tuning,0.7749509936558956,0.04282908189654781,0.7436497860957266,0.7996044919271766,9
1,2,40,tuning,0.7926261132017278,0.030410911548622875,0.7695874221960716,0.8101566818311016,9
2,1,40,tuning,0.7749838350028315,0.0721495575541573,0.7301482517572601,0.8173679916480122,9
2,2,40,tuning,0.8049604075384522,0.06345136069763495,0.7615125741831961,0.8431331655315009,9
