episode,reward,success,runtime_sec,grad_norm
1,1.23,1,1.578943500004243,0.5258774983515961
2,1.26,1,1.4771277999971062,0.5258774983515961
3,0.19,0,2.039792599971406,0.5258774983515961
4,1.03,1,3.780141499999445,0.5258774983515961
5,1.19,1,2.1378678000182845,0.36876865919407686
6,1.27,1,0.8618500999873504,0.36876865919407686
7,1.3,1,1.3305036999518052,0.36876865919407686
8,0.18999999999999997,0,3.5382320000207983,0.36876865919407686
9,-0.21000000000000005,0,1.697867699956987,0.340960971460684
10,0.19,0,1.8522898000082932,0.340960971460684
11,0.18999999999999997,0,1.688777500006836,0.340960971460684
12,-0.010000000000000037,0,3.6722829999634996,0.340960971460684
13,1.3,1,1.1435507000423968,0.7684952944691043
14,1.3,1,1.0523135000257753,0.7684952944691043
15,1.16,1,1.4693755999905989,0.7684952944691043
16,1.19,1,3.9640037000062875,0.7684952944691043
17,0.19,0,1.6067508000414819,0.1601495980782299
18,1.3,1,1.1571420000400394,0.1601495980782299
19,-0.4100000000000001,0,1.79031800001394,0.1601495980782299
20,0.08999999999999997,0,3.5139731999952346,0.1601495980782299
21,0.08999999999999997,0,1.5418635999667458,0.42022576431970016
22,0.08999999999999997,0,1.5805048000183888,0.42022576431970016
23,-0.01000000000000003,0,1.700473000004422,0.42022576431970016
24,-0.010000000000000037,0,2.945535300008487,0.42022576431970016
25,1.27,1,0.9238295999821275,0.20648961449364678
26,1.23,1,1.1502926999819465,0.20648961449364678
27,1.23,1,1.311453900008928,0.20648961449364678
28,0.99,1,3.05557869997574,0.20648961449364678
29,1.3,1,1.0102335999836214,0.2764250278990421
30,1.19,1,1.5064097000285983,0.2764250278990421
31,1.26,1,1.5967896999791265,0.2764250278990421
32,1.27,1,4.546603800030425,0.2764250278990421
33,-0.11000000000000004,0,1.7327389999991283,0.2451088722811726
34,0.19,0,2.5666844000224955,0.2451088722811726
35,0.08999999999999997,0,2.411820500041358,0.2451088722811726
36,1.27,1,3.264045999967493,0.2451088722811726
37,1.23,1,1.4348807000205852,0.3114211914684101
38,1.27,1,0.9987729000276886,0.3114211914684101
39,1.26,1,1.4003040999523364,0.3114211914684101
40,1.27,1,2.845375899982173,0.3114211914684101
