episode,reward,success,runtime_sec,grad_norm
1,1.23,1,0.4315682000014931,0.2350414054566915
2,0.23,0,0.3651378999929875,0.2350414054566915
3,-0.07000000000000003,0,0.22140949999447912,0.14528800274987794
4,0.02999999999999997,0,0.34418499999446794,0.14528800274987794
5,1.3,1,0.18568160000722855,0.6152347351752923
6,1.3,1,0.29808029998093843,0.6152347351752923
7,0.12999999999999998,0,0.2175077999709174,0.12735616785120862
8,1.27,1,0.33506509999278933,0.12735616785120862
9,-0.07000000000000003,0,0.42433639999944717,0.22864875554375236
10,-0.37000000000000005,0,0.47043539996957406,0.22864875554375236
11,-0.07000000000000003,0,0.2877668000292033,0.43610961852467184
12,1.23,1,0.3206683999742381,0.43610961852467184
13,0.12999999999999998,0,0.2189183000009507,0.3738953714584585
14,-0.17000000000000004,0,0.324278200045228,0.3738953714584585
15,1.2,1,0.16980090003926307,0.3872245479801582
16,1.3,1,0.3066186000360176,0.3872245479801582
17,1.03,1,0.19725969998398796,0.48241747065989327
18,1.2,1,0.29934859997592866,0.48241747065989327
19,0.13,0,0.19473879999713972,0.0596968736586356
20,1.3,1,0.3013156999950297,0.0596968736586356
