episode,reward,success,runtime_sec,grad_norm
1,1.23,1,0.8202411000384018,0.2525911765162182
2,0.23,0,1.362136699957773,0.2525911765162182
3,-0.07000000000000003,0,0.6574244999792427,0.3039031423656911
4,0.02999999999999997,0,0.9957332999911159,0.3039031423656911
5,1.3,1,0.5931428000330925,0.6154349713167235
6,1.3,1,0.8854484000476077,0.6154349713167235
7,0.12999999999999998,0,0.6275307000032626,0.13380703920494552
8,1.27,1,0.8377773000393063,0.13380703920494552
9,-0.07000000000000003,0,0.6157006000285037,0.3525379813995699
10,-0.37000000000000005,0,1.1080346999806352,0.3525379813995699
11,-0.07000000000000003,0,0.6360511999810115,1.1463246305081265
12,1.23,1,0.8784242999972776,1.1463246305081265
13,0.12999999999999998,0,0.6542932000011206,0.17393663456509098
14,0.12999999999999998,0,1.098699200025294,0.17393663456509098
15,1.2,1,0.5560027999454178,0.4334594787219532
16,1.3,1,0.9832913999562152,0.4334594787219532
17,1.03,1,0.6127515999833122,0.5935088131721079
18,1.2,1,0.9191084000049159,0.5935088131721079
19,0.13,0,0.6650709999958053,0.05090293673002429
20,1.3,1,1.0584620999870822,0.05090293673002429
