molecule,bond_length,method,energy_hartree,delta_hartree,chemical_accuracy,converged,source
BeH2,1.0,FCI,nan,0.0,False,True,unknown
BeH2,1.0,UCCSD,nan,nan,False,False,unknown
BeH2,1.0,EfficientSU2,nan,nan,False,False,unknown
BeH2,1.1,FCI,nan,0.0,False,True,unknown
BeH2,1.1,UCCSD,nan,nan,False,False,unknown
BeH2,1.1,EfficientSU2,nan,nan,False,False,unknown
BeH2,1.2,FCI,nan,0.0,False,True,unknown
BeH2,1.2,UCCSD,nan,nan,False,False,unknown
BeH2,1.2,EfficientSU2,nan,nan,False,False,unknown
BeH2,1.3,FCI,nan,0.0,False,True,unknown
BeH2,1.3,UCCSD,nan,nan,False,False,unknown
BeH2,1.3,EfficientSU2,nan,nan,False,False,unknown
BeH2,1.4,FCI,nan,0.0,False,True,unknown
BeH2,1.4,UCCSD,nan,nan,False,False,unknown
BeH2,1.4,EfficientSU2,nan,nan,False,False,unknown
BeH2,1.5,FCI,nan,0.0,False,True,unknown
BeH2,1.5,UCCSD,nan,nan,False,False,unknown
BeH2,1.5,EfficientSU2,nan,nan,False,False,unknown
BeH2,1.6,FCI,nan,0.0,False,True,unknown
BeH2,1.6,UCCSD,nan,nan,False,False,unknown
BeH2,1.6,EfficientSU2,nan,nan,False,False,unknown
BeH2,1.7,FCI,nan,0.0,False,True,unknown
BeH2,1.7,UCCSD,nan,nan,False,False,unknown
BeH2,1.7,EfficientSU2,nan,nan,False,False,unknown
BeH2,1.8,FCI,nan,0.0,False,True,unknown
BeH2,1.8,UCCSD,nan,nan,False,False,unknown
BeH2,1.8,EfficientSU2,nan,nan,False,False,unknown
BeH2,1.9,FCI,nan,0.0,False,True,unknown
BeH2,1.9,UCCSD,nan,nan,False,False,unknown
BeH2,1.9,EfficientSU2,nan,nan,False,False,unknown
BeH2,2.0,FCI,nan,0.0,False,True,unknown
BeH2,2.0,UCCSD,nan,nan,False,False,unknown
BeH2,2.0,EfficientSU2,nan,nan,False,False,unknown
BeH2,2.1,FCI,nan,0.0,False,True,unknown
BeH2,2.1,UCCSD,nan,nan,False,False,unknown
BeH2,2.1,EfficientSU2,nan,nan,False,False,unknown
BeH2,2.2,FCI,nan,0.0,False,True,unknown
BeH2,2.2,UCCSD,nan,nan,False,False,unknown
BeH2,2.2,EfficientSU2,nan,nan,False,False,unknown
BeH2,2.3,FCI,nan,0.0,False,True,unknown
BeH2,2.3,UCCSD,nan,nan,False,False,unknown
BeH2,2.3,EfficientSU2,nan,nan,False,False,unknown
BeH2,2.4,FCI,nan,0.0,False,True,unknown
BeH2,2.4,UCCSD,nan,nan,False,False,unknown
BeH2,2.4,EfficientSU2,nan,nan,False,False,unknown
BeH2,2.5,FCI,nan,0.0,False,True,unknown
BeH2,2.5,UCCSD,nan,nan,False,False,unknown
BeH2,2.5,EfficientSU2,nan,nan,False,False,unknown
